Date,Country,Plastic_Waste_Tons,Burned_Waste_Tons,Population_Affected
01/01/2020,India,3110.06,1610.32,90923
02/01/2020,India,2121.17,443.16,88263
03/01/2020,USA,2842.42,1739.86,25494
04/01/2020,Russia,2654.88,1668.28,43491
04/01/2020,Mexico,3863.7,453.91,77122
05/01/2020,Nigeria,2448.47,1467.56,44657
06/01/2020,India,1819.62,1203.24,99626
06/01/2020,Brazil,678.76,1847.51,71253
06/01/2020,China,2109.05,135.16,93034
07/01/2020,India,524.97,2225.58,53980
07/01/2020,Mexico,1194.04,1816.9,91463
08/01/2020,Brazil,3634.2,641.95,41435
08/01/2020,India,629.54,172.28,2117
11/01/2020,Mexico,7374.1,1253.13,19967
11/01/2020,Mexico,2546.6,1727.75,89942
12/01/2020,Brazil,2155.19,1264.07,60790
13/01/2020,Russia,1711.06,309.71,45894
13/01/2020,Brazil,2067.88,858.62,76536
14/01/2020,Nigeria,936.61,1003.1,43035
14/01/2020,Nigeria,4333.63,709.57,28941
15/01/2020,Brazil,1826.84,1687.44,65007
16/01/2020,USA,3405.69,877.48,77098
16/01/2020,China,1327.21,696.11,25493
17/01/2020,Brazil,2577.82,1235.83,91410
17/01/2020,Russia,1604.64,192.57,19015
17/01/2020,Brazil,358.92,1018.99,46250
19/01/2020,Indonesia,2358.77,1967,4772
20/01/2020,India,1058.94,1145.24,55483
20/01/2020,Germany,2585.73,887.02,54884
20/01/2020,Philippines,1659.45,514.92,50319
21/01/2020,Germany,1003.84,1002.7,137
24/01/2020,India,3895.6,783.3,23677
24/01/2020,Nigeria,1522.81,1750.09,60931
26/01/2020,India,1997.2,1326.93,6910
26/01/2020,Mexico,1354.27,1038.91,95678
29/01/2020,USA,1518.84,4412.96,45049
29/01/2020,Philippines,1875.15,902.56,82412
29/01/2020,Philippines,2145.34,2923.18,67760
29/01/2020,Indonesia,136.45,1483.86,64425
31/01/2020,Nigeria,1798.22,801.73,63933
31/01/2020,Russia,2009.69,1888.37,70432
01/02/2020,Indonesia,1923.77,1095.99,15813
02/02/2020,China,434.25,1796.82,66165
02/02/2020,Russia,468.53,868.7,9234
03/02/2020,India,461.81,1229.08,91405
03/02/2020,Indonesia,1676.86,657.42,65670
04/02/2020,India,1396.71,1559.8,71376
05/02/2020,Indonesia,2916.72,686.26,23294
07/02/2020,Nigeria,4525.43,850.81,26575
08/02/2020,Nigeria,909.87,1567.98,45256
08/02/2020,Russia,2454.41,1043.03,2791
08/02/2020,Nigeria,437.72,2114.84,20070
09/02/2020,Brazil,3653.42,2163.3,61751
09/02/2020,Mexico,1882.68,300.36,18303
10/02/2020,Brazil,2514.42,2370.33,42091
11/02/2020,Brazil,1646.98,1297.19,29471
11/02/2020,USA,1480.04,545.59,97041
12/02/2020,Indonesia,2633.54,2570.37,65139
12/02/2020,Indonesia,478.98,3559.57,42045
13/02/2020,Russia,1523.13,1383.92,66400
13/02/2020,Philippines,3031.16,394.78,89478
14/02/2020,Brazil,4323.24,1263.87,98621
14/02/2020,Germany,923.11,1470.51,41334
16/02/2020,Mexico,2567.83,1346.77,63422
17/02/2020,Philippines,3210.28,3221.59,4148
18/02/2020,Indonesia,1624.26,308.07,67439
20/02/2020,Philippines,1405.39,1594.64,6831
20/02/2020,Russia,598.8,2384.22,3447
21/02/2020,China,1382.28,577.54,26004
21/02/2020,Mexico,1183.83,2792.2,75159
22/02/2020,China,2459.92,136.64,81231
22/02/2020,India,2738.06,278.45,99182
22/02/2020,India,2217.57,547.26,64257
23/02/2020,Mexico,607.57,988.03,33804
23/02/2020,Brazil,2227.73,640.68,42945
23/02/2020,Nigeria,2142.15,1051.32,26617
24/02/2020,Germany,2970.06,882.75,54413
24/02/2020,Mexico,1380.21,469.45,63565
24/02/2020,Mexico,141.3,1320.69,89191
25/02/2020,USA,7401.3,869.52,10204
25/02/2020,India,1450.84,549.72,11301
26/02/2020,USA,1863.34,234.98,28223
27/02/2020,Indonesia,811.84,500.56,94374
28/02/2020,Mexico,1514.38,1043.73,71397
28/02/2020,Indonesia,3656.18,1178.6,23327
29/02/2020,USA,1290.65,771.55,76343
29/02/2020,Russia,2408.1,165.84,22783
29/02/2020,Brazil,2114.33,917.58,37105
29/02/2020,Russia,216.25,4141.32,76508
02/03/2020,Nigeria,1058.03,858.8,16171
03/03/2020,China,217.73,1013.42,60494
03/03/2020,Philippines,698.87,1676.49,53304
04/03/2020,Philippines,60.44,856.69,47950
04/03/2020,Nigeria,2618.65,2834.09,1315
04/03/2020,Nigeria,2836.54,1039.14,80772
05/03/2020,Philippines,5115.04,1070.56,53886
05/03/2020,Brazil,1062.88,1315.76,79178
05/03/2020,Nigeria,860.36,2510.79,5175
06/03/2020,USA,1391.85,5099.62,75725
06/03/2020,India,2147.03,1689.1,56332
06/03/2020,China,2043.68,1045.09,29966
07/03/2020,Russia,2035.86,1178.02,82108
07/03/2020,India,1566.66,771.98,77831
08/03/2020,USA,1439.62,460.54,44505
09/03/2020,Russia,1502.63,741.96,66184
09/03/2020,Brazil,968.47,1531.11,21564
12/03/2020,China,2176.96,1347.23,28381
14/03/2020,Russia,3429.5,753.18,46863
14/03/2020,Brazil,1685.16,2919.71,34548
15/03/2020,Russia,439.05,1368.63,12413
15/03/2020,USA,670.08,1061.89,48064
16/03/2020,USA,854.75,902.28,99054
16/03/2020,Brazil,1433.17,957.99,51392
16/03/2020,Brazil,2980.86,1742.36,8714
17/03/2020,Russia,757.4,1635.26,57437
17/03/2020,China,1079.39,649.54,95336
17/03/2020,Nigeria,790.66,543.73,35964
18/03/2020,Russia,3530.03,2813.07,67843
18/03/2020,Philippines,2276.79,612,5457
19/03/2020,China,6309.73,1980.1,17406
19/03/2020,Mexico,2143.26,453.61,34498
20/03/2020,Indonesia,2624.59,614.15,76712
20/03/2020,Mexico,1599.04,641.21,96234
21/03/2020,Nigeria,1271.51,5413.03,48925
